Huffman Encoding Report (Word-Level)
Total Tokens: 2291808
Unique Symbols: 31615
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
sure                 | 283        | 1001100001101        | 3679
Prince               | 283        | 1001100001110        | 3679
beauty               | 282        | 1001100001100        | 3666
yourself             | 282        | 1001100001011        | 3666
saw                  | 282        | 1001100001000        | 3666
means                | 281        | 1001100000001        | 3653
SIR                  | 281        | 1001010111111        | 3653
only                 | 279        | 1001010101001        | 3627
through              | 279        | 1001010101000        | 3627
OTHELLO              | 277        | 1001010010100        | 3601
wit                  | 277        | 1001010010001        | 3601
new                  | 276        | 1001010001010        | 3588
wrong                | 275        | 1001001111110        | 3575
Antony               | 275        | 1001001111101        | 3575
sun                  | 273        | 1001001111001        | 3549
IAGO                 | 273        | 1001001111000        | 3549
mad                  | 272        | 1001001000011        | 3536
court                | 271        | 1000111101010        | 3523
fortune              | 268        | 1000100111101        | 3484
MISTRESS             | 268        | 1000111001010        | 3484
Whose                | 267        | 1000100111100        | 3471
At                   | 265        | 1000011110011        | 3445
left                 | 264        | 1000011100001        | 3432
thoughts             | 264        | 1000011011110        | 3432
child                | 263        | 1000011001111        | 3419
high                 | 263        | 1000011001110        | 3419
horse                | 263        | 1000011010100        | 3419
spirit               | 263        | 1000011001101        | 3419
Did                  | 263        | 1000011001011        | 3419
sent                 | 263        | 1000011001100        | 3419
yours                | 262        | 1000010011101        | 3406
together             | 262        | 1000011000110        | 3406
wish                 | 262        | 1000011001001        | 3406
Grace                | 262        | 1000011001000        | 3406
Richard              | 262        | 1000011001010        | 3406
Though               | 261        | 1000010011011        | 3393
lay                  | 261        | 1000010010001        | 3393
sleep                | 261        | 1000010011010        | 3393
ANTONY               | 259        | 1000010000100        | 3367
alone                | 259        | 1000010000010        | 3367
Her                  | 259        | 1000010000011        | 3367
desire               | 258        | 1000001001010        | 3354
break                | 258        | 1000001001101        | 3354
present              | 258        | 1000001001110        | 3354
letter               | 257        | 1000001000110        | 3341
GLOUCESTER           | 257        | 1000001000111        | 3341
strange              | 256        | 0111111111110        | 3328
lies                 | 255        | 0111110011110        | 3315
foul                 | 255        | 0111110011111        | 3315
itself               | 255        | 0111110011001        | 3315
get                  | 254        | 0111110010101        | 3302
pardon               | 254        | 0111110010110        | 3302
Some                 | 254        | 0111110010100        | 3302
wilt                 | 252        | 0111101110111        | 3276
prove                | 251        | 0111101110110        | 3263
told                 | 250        | 0111101110000        | 3250
breath               | 250        | 0111101110010        | 3250
says                 | 249        | 0111101100110        | 3237
work                 | 248        | 0111101010101        | 3224
Till                 | 248        | 0111101010011        | 3224
grief                | 248        | 0111100111111        | 3224
business             | 248        | 0111101000110        | 3224
law                  | 247        | 0111100110111        | 3211
devil                | 245        | 0111100100110        | 3185
More                 | 244        | 0111100100001        | 3172
swear                | 244        | 0111011011111        | 3172
pity                 | 243        | 0111011010011        | 3159
gave                 | 242        | 0111011000101        | 3146
These                | 242        | 0111011010001        | 3146
GENTLEMAN            | 242        | 0111011000110        | 3146
villain              | 242        | 0111011000111        | 3146
room                 | 239        | 0111001101110        | 3107
Was                  | 239        | 0111010000000        | 3107
kiss                 | 239        | 0111001101111        | 3107
On                   | 238        | 0111001101101        | 3094
Gloucester           | 237        | 0111001001000        | 3081
half                 | 236        | 0111000111000        | 3068
found                | 236        | 0111000111001        | 3068
ear                  | 235        | 0111000101011        | 3055
Take                 | 235        | 0111000101111        | 3055
Warwick              | 235        | 0111000101110        | 3055
(                    | 234        | 0111000100011        | 3042
)                    | 234        | 0111000101010        | 3042
May                  | 234        | 0111000100111        | 3042
looks                | 233        | 0110111111101        | 3029
fly                  | 233        | 0111000100010        | 3029
bloody               | 232        | 0110111100111        | 3016
